name,proj_id,et_id,hbw_id,ebd_id,ebd_sub,ebd_mix,bbs_id,aou_id,aou_mix,hwi,order,family,eng_name,synonyms,mlife,mis_mlife,adsurviv,mis_adsurviv,matage,parasi,egglow,eggupp,nsuc,hatc,fled,ypp,suces,mis_suces,attem,dev,bmass,naggr,brsys,mis_breed,bpstart,bpstop,ndepen,nest,nsbank,nsgroun,nsgrass,nsclif,nsbuild,nsshru,nsdeci,nsconi,nssnag,nscact,nstang,nsfloat,fsmud,fswatb,fswata,fstimb,fsgroun,fsunder,fsmidhigh,fscanopy,fsaerial,fsdump,fpnoct,fpdiur,klepto,fc_categ,fcinvert,fcvend,fcvect,fcfish,fcunk,fcscav,fcfruit,fcnect,fcseed,fcgree,fcleft,fmdig,fmgrgl,fmfogl,fmbagl,fmhogl,fmhopo,fmhawk,fmaero,fmapur,fmswoo,fmhipa,fmlopa,fmhidi,fmskim,fmsdiv,fmsdip,fmdabb,fmstal,fmprob,pelagic,ebd_id2022,code
Empidonax oberholseri,3710,6045,6791,16193,NA,16194;16195,927,4690,4689;4679,18.71,Passeriformes,Tyrannidae,American Dusky Flycatcher,NA,8,0,0.5,0,1,0,3,4,0.41,NA,0.52,1.75,0.21,0,1.1,alt,10.4,1,monog,0,06-01,08-15,0,cup,0,0,0,0,0,60,20,20,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,16543,dusfly
Empidonax difficilis,3720,6047,6781,16202,16203:16205,16209;16210,930,4641,4642;4679,21.79,Passeriformes,Tyrannidae,Pacific-slope Flycatcher,NA,6,0,0.53,1,1,0,3,4,NA,NA,NA,NA,0.25,1,1.25,alt,10.7,1,monog,0,05-25,07-25,0.2,cavity,0,10,0,20,20,0,40,10,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,16552,pasfly
Empidonax occidentalis,3730,6048,6782,16206,16207:16208,16209;16210,931,4640,4642;4679,20.61,Passeriformes,Tyrannidae,Cordilleran Flycatcher,Empidonax difficilis,6,0,0.53,1,1,0,3,5,NA,NA,NA,NA,0.25,1,1,alt,10.5,1,monog,0,04-25,07-25,0.2,cavity,0,30,0,20,0,0,40,10,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,16556,corfly
Empidonax fulvifrons,3740,6050,6786,16215,16216:16221,NA,934,4700,4679,19.01,Passeriformes,Tyrannidae,Buff-breasted Flycatcher,NA,8,1,0.53,1,1,0,3,5,0.54,NA,NA,2.08,0.29,0,0,alt,7.9,2,monog,0,03-30,07-05,0,cup,0,0,0,0,0,0,30,70,0,0,0,0,0,0,0,0,0,30,60,10,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16565,bubfly
Sayornis nigricans,3750,6054,6775,16224,16225:16232,16234;16238,936,4580,NA,21.27,Passeriformes,Tyrannidae,Black Phoebe,NA,6,0,0.72,0,1.2,0,3,6,0.59,0.87,0.85,2.88,0.37,0,2.1,alt,18.63,1,monog,0,03-20,06-25,0,cup,0,0,0,20,80,0,0,0,0,0,0,0,5,0,0,0,0,75,20,0,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,16574,blkpho
Sayornis phoebe,3760,6052,6776,16233,NA,16234,937,4560,NA,20.64,Passeriformes,Tyrannidae,Eastern Phoebe,NA,10,0,0.75,0,1.7,0,4,5,0.87,NA,NA,2.18,0.42,0,1.8,alt,19.7,1,monog,0,04-05,08-20,0,cup,0,5,0,5,90,0,0,0,0,0,0,0,5,0,0,0,0,45,50,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16583,easpho
Sayornis saya,3770,6053,6777,16235,16236:16237,16238,938,4570,NA,25.61,Passeriformes,Tyrannidae,Say's Phoebe,NA,5,0,0.53,1,1.2,0,4,5,0.4,NA,NA,4.18,0.37,0,2.2,alt,20.9,1,monog,0,04-25,07-25,0,cup,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,16585,saypho
Pyrocephalus rubinus,3780,6058,6696,16252,16253:16267,NA,939,4710,NA,21.18,Passeriformes,Tyrannidae,Vermilion Flycatcher,NA,6,0,0.53,1,1,0,2,4,0.67,NA,0.38,NA,0.26,0,2,alt,14.4,1,monog,0,03-15,06-25,0,cup,0,0,0,0,0,10,80,10,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,16604,verfly
Myiarchus tuberculifer,3790,6156,6647,16507,16508:16523,NA,882,4550,NA,18.8,Passeriformes,Tyrannidae,Dusky-capped Flycatcher,NA,13,0,0.53,1,1,0,4,5,NA,NA,NA,NA,0.22,0,1,alt,17.7,1,monog,0,05-01,07-10,0.4,cavity,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40,30,30,0,0,0,1,0,Invertebrate,80,0,0,0,0,0,10,0,10,0,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,16859,ducfly
Myiarchus cinerascens,3800,6166,6663,16546,16547:16548,NA,883,4540,NA,20.42,Passeriformes,Tyrannidae,Ash-throated Flycatcher,NA,9,0,0.53,1,1,0,4,5,0.74,NA,NA,3.6,0.59,0,1.1,alt,28.2,1,monog,0,03-25,07-30,0.5,cavity,0,0,0,0,25,5,55,10,0,5,0,0,0,0,0,0,0,70,30,0,0,0,0,1,0,Invertebrate,70,0,10,0,0,0,20,0,0,0,0,0,20,0,0,50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,16898,astfly
