name,proj_id,et_id,hbw_id,ebd_id,ebd_sub,ebd_mix,bbs_id,aou_id,aou_mix,hwi,order,family,eng_name,synonyms,mlife,mis_mlife,adsurviv,mis_adsurviv,matage,parasi,egglow,eggupp,nsuc,hatc,fled,ypp,suces,mis_suces,attem,dev,bmass,naggr,brsys,mis_breed,bpstart,bpstop,ndepen,nest,nsbank,nsgroun,nsgrass,nsclif,nsbuild,nsshru,nsdeci,nsconi,nssnag,nscact,nstang,nsfloat,fsmud,fswatb,fswata,fstimb,fsgroun,fsunder,fsmidhigh,fscanopy,fsaerial,fsdump,fpnoct,fpdiur,klepto,fc_categ,fcinvert,fcvend,fcvect,fcfish,fcunk,fcscav,fcfruit,fcnect,fcseed,fcgree,fcleft,fmdig,fmgrgl,fmfogl,fmbagl,fmhogl,fmhopo,fmhawk,fmaero,fmapur,fmswoo,fmhipa,fmlopa,fmhidi,fmskim,fmsdiv,fmsdip,fmdabb,fmstal,fmprob,pelagic
Anas clypeata,150,695,575,434,,435;436;437;441;447,34,1420,,57.97,Anseriformes,Anatidae,Northern Shoveler,Spatula clypeata,13,0,0.39,0,1,0,9,12,,0.74,0.18,,0.13,0,1,pre2,612.56,1,monog,0,05-05,04-25,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,1,0,Invertebrate,60,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
Anas strepera,160,671,580,438,439:440,441;444;448,35,1350,,54.79,Anseriformes,Anatidae,Gadwall,Mareca strepera,22,0,0.72,0,1,0,8,11,0.75,0.93,0.83,,0.58,0,1,pre2,915.58,2,monog,0,04-20,08-30,0,scrape,0,95,0,0,0,0,5,0,0,0,0,0,0,0,80,0,20,0,0,0,0,0,0,1,0,PlantSeed,5,0,0,0,0,0,0,0,30,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Anas americana,170,674,582,445,,446;447;448;449;450,38,1370,,53.71,Anseriformes,Anatidae,American Wigeon,Mareca americana,21,0,0.52,0,1.5,0,7,10,0.5,,,6.5,0.5,0,1,pre2,754.61,3,monog,0,05-10,08-20,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Mareca penelope,175,673,581,443,,444,37,1360,,58.541,Anseriformes,Anatidae,Eurasian Wigeon,Anas penelope,21,1,0.52,1,1.5,0,7,10,,,,,0.5,1,1,pre2,770.03,2,monog,0,04-05,07-25,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,1,0,PlantSeed,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Anas platyrhynchos,180,679,592,471,472:474,475;476;477;478;479;480;481;482;483;484;485;486;497;488;489;491;492;495;496;500;501;502;512;519;538;561;570;577;622,40,1320,1331;1326,50.78,Anseriformes,Anatidae,Mallard,,29,0,0.6,0,1,0,7,10,0.2,0.91,0.35,,0.1,0,1.1,pre2,843.42,2,monog,0,04-10,09-15,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,20,60,0,20,0,0,0,0,0,0,1,0,Omnivore,35,0,10,10,0,0,0,0,20,20,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0
Anas rubripes,190,677,593,493,,494;495;496;505,42,1330,1326,51.37,Anseriformes,Anatidae,American Black Duck,,26,0,0.61,0,1,0,8,10,0.38,0.96,,4.9,0.36,0,1,pre2,1240.96,2,monog,0,04-25,09-25,0,scrape,0,95,0,0,0,0,5,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,1,0,PlantSeed,40,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,90,0,0,0
Anas fulvigula,200,19816,594,497,498:499,500;501;502;503;504;505,43,1340,1326,48.78,Anseriformes,Anatidae,Mottled Duck,,13,0,0.48,0,1,0,8,10,0.27,0.77,0.5,,0.1,0,1,pre2,843.42,1,monog,0,02-25,08-05,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,20,60,0,20,0,0,0,0,0,0,1,0,Omnivore,40,0,10,10,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Anas acuta,210,708,608,514,,515;516;517;518;519;520,46,1430,,59.44,Anseriformes,Anatidae,Northern Pintail,,21,0,0.72,0,1,0,6,9,0.24,0.93,,,0.38,0,0.9,pre2,944.62,3,monog,0,04-01,08-05,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,0,0,0,0,0,1,0,PlantSeed,20,0,0,0,10,0,0,0,20,50,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0
Anas crecca,220,714,612,529,530:532,533;534;535;536;537;538;539,47,1390,,54.78,Anseriformes,Anatidae,Common Teal,,20.5,0,0.5,0,1,0,8,9,0.43,0.79,0.63,3.8,0.21,0,1,pre2,341.89,3,monog,0,05-01,08-20,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,10,0,60,0,30,0,0,0,0,0,0,1,0,PlantSeed,30,0,0,0,0,0,0,0,20,50,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
Aythya valisineria,230,728,549,575,,578;581,48,1470,,41.93,Anseriformes,Anatidae,Canvasback,,22,0,0.76,0,1.25,0,7,9,0.53,0.9,0.33,5.52,0.16,0,1,pre2,1202,3,monog,0,04-20,09-10,0,cup,0,0,0,0,0,0,0,0,0,0,0,100,20,30,40,0,10,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,10,0,0,0,0,20,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,0,10,0
